"code_rongeur","syphacia_stroma","heligmosomoides_polygyrus","hymenolepis_hiberna","syphacia_frederici","trichuris","hydatigera_parva","aspiculuris_tetraptera","skrjabinotaenia_lobata","numero_ligne","demogroup","sexe","gestation","SMI","poids","longueur_tete_corps","richesse_spe_AP","habitat1","habitat2","richesse","shannon","simpson"
"NCHA100235",3.55534806148941,0.693147180559945,0,0,0,0,0,0,12,"adult","M","non",19.0969150420311,18,88,1,"haie","C_LB",2,0.44485857203887,0.273065798398587
"NCHA100238",0,0,0,1.6094379124341,0,0,0,0,6,"adult","F","non",19.007827768469,24.1,98,1,"haie","C_HB",1,0,0
"NCHA100240",0,0.693147180559945,0,0,0,0,0,0,16,"adult","M","non",19.8172417824122,18.1,87,2,"haie","NC_LB",1,0,0
"NCHA100241",0,0,0,5.76519110278484,0,0,0,0,6,"adult","F","non",21.256324901035,26.2,97,2,"haie","C_HB",1,0,0
"NCHA100242",0,1.6094379124341,0,0,0,0,0,0,15,"subadult","M","non",22.3111292878348,18.5,84,0,"pins","CT_LB",1,0,0
"NCHA100243",0,2.39789527279837,0,4.59511985013459,0,0,0,0,6,"subadult","M","non",17.6274913092175,16.1,87,0,"haie","C_HB",2,0.642939423849782,0.450638316174509
"NCHA100244",0,2.07944154167984,0,2.56494935746154,0,0,0,0,13,"subadult","M","non",21.5961877847845,16.2,81,5,"haie","NC_HB",2,0.687673257843934,0.494536072540905
"NCHA100245",0,2.07944154167984,0,5.24702407216049,0,0,0,0,11,"adult","M","non",20.506370206647,26,98,3,"haie","C_LB",2,0.596530636709809,0.406537616709841
"NCHA100247",0,2.19722457733622,0,0,0,0,0,0,11,"adult","M","non",16.1883857907939,21.7,100,2,"haie","C_LB",1,0,0
"NCHA100248",0,1.6094379124341,0,0,0,0,0,0,17,"adult","F","non",19.1610278654221,22.3,95,2,"haie","C_HB",1,0,0
"NCHA100249",4.33073334028633,1.09861228866811,0,0,0,0,0,0,16,"adult","M","non",21.3410960059604,21.4,90,4,"haie","NC_LB",2,0.503639016271125,0.322805490346923
"NCHA100250",2.94443897916644,1.94591014905531,0,0,0,0,0,0,15,"subadult","M","non",17.1895412145785,15.7,87,2,"pins","CT_LB",2,0.672154404893361,0.479154539607229
"NCHA100251",1.09861228866811,0.693147180559945,0,0,0,0,0,0,16,"subadult","M","non",21.3619805871334,18.3,85,1,"haie","NC_LB",2,0.667319471508538,0.474395425538592
"NCHA100252",0,0,0,1.09861228866811,0,0,0,0,16,"adult","F","non",22.7191823035502,20.1,86,1,"haie","NC_LB",1,0,0
"NCHA100253",0,1.38629436111989,0,0,0,0,0,0,16,"adult","F","non",16.5759630785406,14.2,85,2,"haie","NC_LB",1,0,0
"NCHA100255",0,4.38202663467388,0,6.60665018619822,0,0,0,0,17,"adult","F","oui",23.1994507787622,27,95,1,"haie","C_HB",2,0.672512481374945,0.479507626450054
"NCHA100256",0,1.94591014905531,0,0,0,0,0,0,6,"adult","F","non",20.3627528356604,19.8,89,2,"haie","C_HB",1,0,0
"NCHA100257",0,3.13549421592915,0,4.26267987704132,0,0,0,0,17,"adult","M","non",18.4044465629147,20.2,93,1,"haie","C_HB",2,0.681495070693415,0.488393218159249
"NCHA100258",1.09861228866811,1.09861228866811,0,4.64439089914137,0,0,0,0,15,"adult","M","non",18.6697981040474,19.3,91,0,"pins","CT_LB",3,0.850345854758132,0.487600041172784
"NCHA100259",0,1.79175946922805,0,1.6094379124341,0,0,0,0,6,"subadult","F","non",21.7437289733163,14.7,78,1,"haie","C_HB",2,0.691709737818554,0.498563246137938
"NCHA100260",0,0,0,3.36729582998647,0,0,0,0,6,"adult","F","non",20.3113913779301,17.4,85,0,"haie","C_HB",1,0,0
"NCHA100261",0,2.30258509299405,0,1.09861228866811,0,0,0,0,6,"adult","F","oui",16.9563813141844,20.9,97,2,"haie","C_HB",2,0.629115682361654,0.437347315176853
"NCHA100262",1.79175946922805,2.07944154167984,0,0,0,0,0,0,10,"adult","F","non",19.0258044171574,18.5,89,1,"pins","CT_LB",2,0.690383393442778,0.497238759995733
"NCHA100264",0,1.6094379124341,0,0,0,0,0,0,20,"adult","F","oui",23.4480184168211,22.8,89,2,"haie","C_HB",1,0,0
"NCHA100265",0,0,0,0,0,0,0,0,21,"adult","M","non",18.6539930354733,25.7,101,4,"haie","NC_LB",0,NA,NA
"NCHA100268",3.04452243772342,1.09861228866811,0,0,0,0,0,0,23,"adult","M","non",23.6537027888984,23,89,1,"pins","CT_HB",2,0.578389811825628,0.389704585064452
"NCHA100271",0,1.38629436111989,0,0,0,0,0,0,19,"adult","F","non",16.625364476474,12.9,82,1,"haie","NC_LB",1,0,0
"NCHA100275",0,0.693147180559945,0,0,0,0,0,0,19,"adult","F","non",24.6304803490991,21.1,85,1,"haie","NC_LB",1,0,0
"NCHA100280",6.26720054854136,1.79175946922805,0,0,0,0,0,0,51,"adult","M","non",22.2415246087479,28.2,98,4,"feuillus","B",2,0.529842877229759,0.345800242838371
"NCHA100284",0,2.56494935746154,0,0,0,0,0,0,51,"adult","M","non",22.2416286832853,29,99,2,"feuillus","B",1,0,0
"NCHA100285",3.95124371858143,0.693147180559945,0,0,0,0,0,0,51,"adult","M","non",18.9891672984897,16.8,86,0,"feuillus","B",2,0.421395374504634,0.253940367874428
