Protocol:	iga elisa 18.03.2025 16:27:14
Plate format:	96 Wells

Absorbances     Filter 1: 450nm   Reading 1:  0:00:00

	1	2	3	4	5	6	7	8	9	10	11	12
A	0.378	0.413	0.331	0.267	0.327	0.320	0.298	0.374	0.339	0.052	0.495	0.534
B	0.375	0.404	0.353	0.374	0.344	0.295	0.043	0.040	0.042	0.045	0.413	0.539
C	0.420	0.307	0.279	0.262	0.271	0.252	0.298	0.289	0.305	0.053	0.347	0.418
D	0.388	0.333	0.286	0.040	0.040	0.040	0.327	0.251	0.247	0.046	0.305	0.320
E	0.365	0.330	0.323	0.320	0.290	0.324	0.298	0.305	0.337	0.041	0.220	0.211
F	0.325	0.271	0.275	0.452	0.276	0.277	0.307	0.328	0.380	0.039	0.140	0.143
G	0.384	0.317	0.327	0.288	0.290	0.262	0.399	0.369	0.348	0.040	0.097	0.087
H	0.329	0.325	0.322	0.384	0.400	0.340	0.393	0.335	0.327	0.041	0.067	0.066

