Protocol:	iga elisa 21.03.2025 16:39:50
Plate format:	96 Wells

Absorbances     Filter 1: 450nm   Reading 1:  0:00:00

	1	2	3	4	5	6	7	8	9	10	11	12
A	0.511	0.449	0.432	0.428	0.399	0.396	0.454	0.438	0.482	0.056	0.659	0.661
B	0.518	0.479	0.421	0.363	0.318	0.348	0.400	0.396	0.442	0.049	0.563	0.534
C	0.397	0.384	0.319	0.572	0.451	0.481	0.317	0.325	0.389	0.056	0.480	0.493
D	0.497	0.430	0.402	0.310	0.309	0.426	0.382	0.298	0.306	0.048	0.388	0.365
E	0.537	0.457	0.414	0.378	0.375	0.367	0.382	0.396	0.421	0.044	0.265	0.239
F	0.557	0.546	0.506	0.399	0.394	0.463	0.510	0.454	0.441	0.041	0.176	0.160
G	0.438	0.383	0.373	0.607	0.531	0.565	0.539	0.551	0.569	0.043	0.108	0.106
H	0.423	0.411	0.413	0.431	0.415	0.430	0.523	0.555	0.502	0.042	0.074	0.077

