Protocol:	iga elisa 21.03.2025 16:42:06
Plate format:	96 Wells

Absorbances     Filter 1: 450nm   Reading 1:  0:00:00

	1	2	3	4	5	6	7	8	9	10	11	12
A	0.510	0.450	0.450	0.399	0.307	0.383	0.270	0.301	0.328	0.054	0.635	0.582
B	0.436	0.416	0.399	0.381	0.330	0.360	0.408	0.469	0.510	0.049	0.569	0.570
C	0.433	0.431	0.378	0.423	0.349	0.348	0.398	0.404	0.401	0.054	0.417	0.459
D	0.434	0.390	0.375	0.266	0.240	0.322	0.457	0.349	0.406	0.049	0.321	0.349
E	0.469	0.441	0.415	0.398	0.393	0.385	0.366	0.390	0.414	0.042	0.211	0.231
F	0.485	0.462	0.473	0.386	0.391	0.398	0.431	0.465	0.475	0.043	0.147	0.155
G	0.473	0.441	0.434	0.410	0.418	0.420	0.437	0.502	0.503	0.042	0.103	0.101
H	0.393	0.368	0.378	0.460	0.490	0.467	0.523	0.592	0.531	0.043	0.070	0.074

