Protocol:	iga elisa 18.03.2025 16:34:48
Plate format:	96 Wells

Absorbances     Filter 1: 450nm   Reading 1:  0:00:00

	1	2	3	4	5	6	7	8	9	10	11	12
A	0.372	0.334	0.317	0.320	0.332	0.347	0.279	0.295	0.310	0.054	0.544	0.532
B	0.303	0.269	0.267	0.264	0.249	0.268	0.325	0.318	0.304	0.048	0.509	0.464
C	0.325	0.318	0.287	0.270	0.255	0.278	0.040	0.044	0.040	0.051	0.404	0.385
D	0.311	0.281	0.291	0.299	0.280	0.279	0.047	0.040	0.041	0.045	0.288	0.282
E	0.354	0.305	0.271	0.191	0.171	0.162	0.040	0.049	0.040	0.041	0.204	0.201
F	0.342	0.267	0.314	0.262	0.220	0.197	0.041	0.041	0.041	0.040	0.139	0.150
G	0.349	0.323	0.320	0.189	0.190	0.195	0.041	0.040	0.041	0.041	0.095	0.089
H	0.375	0.353	0.335	0.396	0.373	0.387	0.040	0.041	0.041	0.041	0.065	0.064

