Protocol:	iga elisa 11.03.2025 16:53:26
Plate format:	96 Wells

Absorbances     Filter 1: 450nm   Reading 1:  0:00:00

	1	2	3	4	5	6	7	8	9	10	11	12
A	0.149	0.213	0.168	0.359	0.352	0.367	0.353	0.370	0.352	0.056	0.715	0.730
B	0.336	0.318	0.328	0.444	0.377	0.414	0.390	0.390	0.390	0.049	0.631	0.680
C	0.270	0.273	0.251	0.158	0.157	0.133	0.194	0.200	0.210	0.044	0.526	0.571
D	0.320	0.302	0.414	0.403	0.353	0.384	0.350	0.293	0.453	0.041	0.382	0.431
E	0.178	0.195	0.128	0.427	0.393	0.345	0.304	0.337	0.336	0.040	0.243	0.279
F	0.285	0.287	0.292	0.551	0.403	0.391	0.294	0.314	0.411	0.041	0.154	0.174
G	0.097	0.098	0.101	0.394	0.349	0.317	0.291	0.326	0.306	0.040	0.093	0.132
H	0.044	0.043	0.046	0.047	0.044	0.043	0.051	0.052	0.050	0.041	0.073	0.076

